t_s,t_after_step_s,delta_rad,omega_pu,freq_hz,speed_rpm,Pm_mw,Pm_pu,Pe_mw,Pe_pu,Pe_demand_mw,valve_pu,P_fuel_pu,fsrn_pu,fsra_pu,fsrt_pu,fsr_pu,fuel_kg_s,cum_fuel_kg,active_branch
1.94,-3.06,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527486251165362,0.5484848484848485,0.7784778821960817,1.5102470914603983,0
1.96,-3.04,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527482865449017,0.5484848484848485,0.7784778821960817,1.52581664910432,0
1.98,-3.02,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527483776312133,0.5484848484848485,0.7784778821960817,1.5413862067482416,0
2.0,-3.0,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527486211392224,0.5484848484848485,0.7784778821960817,1.5569557643921632,0
2.02,-2.98,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527483954850799,0.5484848484848485,0.7784778821960817,1.5725253220360849,0
2.04,-2.96,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527483111462489,0.5484848484848485,0.7784778821960817,1.5880948796800065,0
2.06,-2.94,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527485759342556,0.5484848484848485,0.7784778821960817,1.6036644373239282,0
2.08,-2.92,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527484696765258,0.5484848484848485,0.7784778821960817,1.6192339949678498,0
2.1,-2.9,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527483029412444,0.5484848484848485,0.7784778821960817,1.6348035526117715,0
2.12,-2.88,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527485522746011,0.5484848484848485,0.7784778821960817,1.650373110255693,0
